Model, Price, Mileage, Color, Interior.Color, Fueltype, Transmission, Drivetype
Used 2014 Audi S4 3.0T Premium Plus quattro,41991,880,Black,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,25498,74692,Not Specified,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus,39495,8500,Black,Black,Gasoline,Automatic,AWD
Used 2011 Audi S4 3.0 Prestige quattro,22700,77353,Ibis White,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2017 Audi S3 2.0T Premium Plus quattro,44999,1952,Mythos Black Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,38109,46518,Mythos Black Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Prestige quattro,28960,37891,Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus,39650,16149,Brilliant Black,Black/Magma Red,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31987,17218,Sepang Blue Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,35675,45606,Brilliant Black,Black,Gasoline,6-Speed Manual,AWD
Used 2013 Audi S4 3.0T Prestige quattro,34800,26215,Misano Red Pearl,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,35900,42817,Volcano Red Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus,36446,16431,Brilliant Black,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2007 Audi S4 4.2 quattro,13987,100011,Dolphin Gray Metallic,Ebony,Gasoline,6-Speed,AWD
Used 2008 Audi S4 4.2 Avant quattro,21990,58602,Brilliant Red,Black,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31755,35966,Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0 Premium Plus,35858,53656,Chrome,aluminum,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Certified 2016 Audi S3 Prestige,44967,18250,Monsoon Gray Metallic,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,38565,24448,Ibis White,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 quattro,14900,70700,Dolphin Gray Metallic,Ebony,Gasoline,6-Speed Manual,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,28800,54813,Ice Silver Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2001 Audi S4 2.7T Avant quattro,14995,159863,Casablanca White,White,Gasoline,6-Speed Manual,AWD
Certified 2015 Audi S3 2.0T Prestige quattro,38950,16598,Monsoon Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S4 3.0T Premium Plus quattro,43599,27130,Volcano Red Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 Premium Plus,Not Priced,27156,White,unknown,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2004 Audi S4 4.2 quattro,6955,127004,Sebring Silver Metallic,Black,Gasoline,6-Speed Automatic,AWD
Certified 2016 Audi S3 2.0T Premium Plus quattro,39769,37363,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,15950,81968,Navigation Hid Parking Sensors Cd Changer Heated Leather Seats,Ebony,Gasoline,6-Speed Automatic,AWD
Used 2007 Audi S4 quattro,11950,93727,Silver,unknown,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33480,12739,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus,34956,31805,Panther Black Crystal Effect,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,40998,31573,Sepang Blue Pearl Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Prestige quattro,29000,53822,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,28855,61459,Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,11995,106496,Black,Black,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,20998,34054,Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 Cabriolet quattro,9800,92500,Black,Beige,Gasoline,Automanual,AWD
Certified 2015 Audi S3 2.0T Premium Plus quattro,31955,23848,Ice Silver Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus quattro,35997,30923,Brilliant Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,34998,35117,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,34970,37915,Monsoon Gray Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2004 Audi S4 quattro,10991,83508,Moro Blue Pearl Effect / Blue Roof,Silver,Gasoline,6-Speed,AWD
Used 2016 Audi S3 Premium Plus,36999,25525,Glacier White Metallic,Black,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S4 3.0T Prestige quattro,37997,28139,Daytona Gray Pearl,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,35997,32983,Black,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,33980,27917,White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Prestige quattro,39900,9183,Brilliant Black,Black,Gasoline,Automatic,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,34980,48864,Monsoon Gray Metallic,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,14991,87125,Blue,unknown,Gasoline,6-Speed,AWD
Used 2015 Audi S3 2.0T Prestige quattro,35480,21645,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,Not Priced,40329,Ibis White,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,29995,58745,White,Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,34000,17443,Monsoon Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Prestige quattro,28995,53200,Gray,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,38991,17613,Monsoon Gray Metallic,Black,Gasoline,Automatic,AWD
Used 2005 Audi S4 quattro,10997,95018,Moro Blue Pearl,Silver / Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,34975,49419,Chrome,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus,31500,35000,Silver,Black,Gasoline,Automanual,AWD
Used 2007 Audi S4 4.2 quattro,14000,113000,White,Black,Gasoline,Automatic,AWD
Used 2014 Audi S4 3.0T Premium Plus,33995,46114,White,black/red,Gasoline,7 speed automatic with auto-shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,37777,8262,Brilliant Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Prestige quattro,26400,47316,Brilliant Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 Avant quattro,Not Priced,150396,,unknown,Gasoline,6-Speed,AWD
Used 2013 Audi S4 3.0T Prestige,29500,77452,White,Black,Gasoline,Manual,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,35977,13261,Glacier White Metallic,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,19498,99330,Ice Silver Metallic,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus S tronic,36295,24668,Mythos Black Metallic,Black / Magma Red,Unknown,Automatic,
Certified 2016 Audi S3 2.0T,40397,6472,Florett Silver Metallic,Black W Dark Silver Sttch,Unknown,Automatic,
Used 2010 Audi S4 3.0 Premium Plus quattro,18990,96234,Blue,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2006 Audi S4 4.2 Avant quattro,10350,123902,Black,Black,Gasoline,6-Speed,AWD
Used 2005 Audi S4 4.2 quattro,8000,108000,Red,Beige,Gasoline,Automanual,AWD
Used 2001 Audi S4 quattro,6900,176976,Silver,Black,Gasoline,5-Speed Manual,AWD
Used 2015 Audi S3 2.0T Premium Plus,38500,19032,,unknown,Unknown,6 speed automatic with auto-shift,
Used 2011 Audi S4,13995,136680,Navy Blue,black,Gasoline,7 speed automatic with auto-shift,AWD
Used 2004 Audi S4 4.2 quattro,7995,137041,Charcoal,Black,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33480,12739,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S4 3.0T Premium Plus quattro,41900,17368,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Prestige,20500,85000,Black,Black,Gasoline,Automanual,AWD
Used 2016 Audi S4 3.0T Premium Plus quattro,41990,32224,Florett Silver Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33488,17573,Brilliant Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33995,25152,Blue,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Prestige quattro,36994,5514,Florett Silver Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Prestige,21999,89000,Black,Black,Gasoline,Automatic,AWD
Used 2011 Audi S4 Base,20000,77020,Black,Black,Gasoline,Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,37899,19120,Mythos Black Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,34995,6644,Moonlight Blue Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,Not Priced,7290,Monsoon Gray Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Prestige quattro,34779,23368,Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,37488,25643,Monsoon Gray Metallic,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 Avant quattro,7500,155000,Black,Black,Gasoline,Manual,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,42995,14452,Monsoon Gray Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,17995,108367,Blue,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi S4 3.0 Prestige quattro,26980,64694,Ibis White,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,36000,18716,Sepang Blue Pearl Effect,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,38450,17125,Mythos Black Metallic,Black / Magma Red,Gasoline,Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,38843,7920,Brilliant Black,Black,Gasoline,Automatic,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,34695,34905,Moonlight Blue Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2004 Audi S4 4.2 quattro,7495,149986,Black,Black,Gasoline,6-Speed Automatic,AWD
Certified 2016 Audi S4 3.0T Premium Plus quattro,46995,20586,Sepang Blue Pearl Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,26868,57625,Monsoon Gray Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,21888,35274,Brilliant Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,37295,37958,Estoril Blue Crystal Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus quattro,33500,25015,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2016 Audi S3 Premium Plus,37847,5412,Brilliant Black,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2012 Audi S4 3.0 Prestige quattro,27995,70102,Monsoon Gray Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Prestige,26500,70400,Black,Black,Gasoline,Automatic,AWD
Used 2001 Audi S4 quattro,13995,66897,Silver,Black,Gasoline,6-Speed Manual,AWD
Certified 2016 Audi S3 Premium Plus,43591,7104,Glacier White Metallic,Black/Titanium,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Certified 2015 Audi S3 2.0T Prestige quattro,35902,36183,Daytona Gray Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,38995,45410,Sepang Blue Pearl Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33832,4851,Brilliant Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Prestige quattro,17995,132540,Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 quattro,10995,115332,Silver,Off White,Gasoline,6-Speed Manual,AWD
Certified 2016 Audi S3 Premium Plus,41492,16720,Monsoon Gray Metallic,Black/Titanium,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S4 3.0T Prestige quattro,42603,20206,Monsoon Gray Metallic,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,36998,34938,Ice Silver Metallic,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,41990,16463,Volcano Red Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,30000,28546,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,31995,26381,Brilliant Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0 Premium Plus,40477,10425,Brilliant Black,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2011 Audi S4 3.0 Prestige quattro,24250,46550,Ice Silver Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi S3 2.0T Premium Plus quattro,44495,6219,Nano Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2001 Audi S4 AWD,4800,133000,Silver,Black,Gasoline,Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,39893,2740,Misano Red Pearl Effect,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Prestige quattro,40000,17631,Mythos Black Metallic,Black,Gasoline,Automatic,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,26000,71568,Brilliant Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Prestige quattro,31995,26568,Brilliant Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0 Premium Plus,38377,21004,Misano Red Pearl Effect,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Certified 2014 Audi S4 3.0T Premium Plus quattro,36490,41130,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 Premium Plus,37998,17355,Black,Red,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2007 Audi S4 4.2 quattro,16500,90700,Black,Black,Gasoline,Manual,AWD
Used 2006 Audi S4 4.2 quattro,8499,117778,Black,Black,Gasoline,Automanual,AWD
Used 2008 Audi S4 4.2 quattro,19995,43162,,unknown,Gasoline,6-Speed Automatic,AWD
Certified 2015 Audi S4 3.0T Premium Plus quattro,40990,32324,Gray,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,41800,24872,Glacier White Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,35995,23718,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,26950,111938,Glacier White Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus,19000,80500,Gray,Black,Gasoline,Automatic,AWD
Used 2016 Audi S3 Premium Plus,36995,11296,Mythos Black Metallic,Black/Magma Red,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2014 Audi S4 3.0T Premium Plus,32499,50500,Gray,Black,Gasoline,Automanual,AWD
Used 2012 Audi S4 3.0 Premium Plus,22182,81664,,unknown,Gasoline,7-Speed Automatic w/Manual Shift,AWD
Certified 2014 Audi S4 3.0T Premium Plus quattro,39997,20809,Moonlight Blue Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 quattro,7900,117550,,unknown,Gasoline,6-Speed Automatic,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,29800,85418,Estoril Blue,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi S4 3.0 Prestige quattro,27834,38404,Brilliant Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,11994,98236,Black,unknown,Gasoline,6-Speed Automatic,AWD
Used 2010 Audi S4 3.0 Prestige quattro,19990,109699,Blue,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,34411,34771,Sepang Blue Pearl Effect,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus quattro,21995,71726,Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus quattro,23990,79778,Gray,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2014 Audi S4 3.0T Premium Plus quattro,36997,48378,Monsoon Gray Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,25990,55565,Brilliant Black,Charcoal,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,16490,105113,Silver,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus,38500,17820,White,Red,Gasoline,Automatic,AWD
Used 2001 Audi S4 quattro,5995,142632,Blue,unknown,Gasoline,5-Speed Automatic,AWD
Used 2005 Audi S4 quattro,12995,66779,Ebony Black Pearl Effect / Black Roof,Silver,Gasoline,6-Speed Manual,AWD
Used 2014 Audi S4 3.0 Premium Plus,35745,26403,Monsoon Gray Metallic,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,18962,94526,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus,21900,74000,Black,Black,Gasoline,Manual,AWD
Used 2012 Audi S4 3.0 Prestige quattro,26999,57256,Brilliant Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S4 3.0 Premium Plus,44455,25551,Sepang Blue Pearl Effect,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2013 Audi S5 3.0T Prestige quattro,35995,42315,Moonlight Blue Metallic,Chestnut Brown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,15998,121513,Black,unknown,Gasoline,6-Speed Manual,AWD
Used 2007 Audi S4 4.2 quattro,18377,55905,Blue,Gray,Gasoline,6-Speed Automatic,AWD
Used 2012 Audi S4 3.0 Premium Plus,26900,42275,Black,Black,Gasoline,7 speed automatic with auto-shift,
Used 2004 Audi S4 4.2 quattro,9000,115000,Gray,Beige,Gasoline,Automatic,AWD
Used 2007 Audi S4 4.2 Avant quattro,15850,100808,Ibis White,Black,Gasoline,6-Speed,AWD
Used 2013 Audi S5 3.0T Premium Plus quattro,33295,47456,Ibis White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 4.2 quattro,15977,75828,Black,Black,Gasoline,6-Speed Automatic,AWD
Used 2005 Audi S4 4.2 quattro,8995,86737,Blue,Gray,Gasoline,6-Speed Automatic,AWD
Certified 2014 Audi S4 3.0T Prestige quattro,35999,46923,Chrome,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2014 Audi S4 3.0T Premium Plus quattro,34995,41860,Ice Silver,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,26497,60652,Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S5 3.0T Premium Plus quattro,38491,21281,Glacier White Metallic / Black Roof,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2004 Audi S4 quattro,8395,68240,Blue,Black,Gasoline,6-Speed Manual,AWD
Used 2006 Audi S4 4.2 quattro,9995,130778,Blue,Gray,Gasoline,6-Speed Automatic,AWD
Used 2014 Audi S5 3.0T Premium Plus quattro,35990,33910,Estoril Blue Crystal Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2012 Audi S4 3.0 Prestige quattro,33281,25591,Glacier White Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0 Premium Plus,36755,26392,Glacier White Metallic,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,20995,94146,Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,27993,70604,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S5 3.0 Premium Plus quattro,29000,33952,Phantom Black Pearl Effect / Red Roof,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 quattro,10500,116705,Silver,unknown,Gasoline,6-Speed Automatic,AWD
Used 2010 Audi S5 3.0 Prestige quattro,32900,32017,Ibis White,Tuscan Brown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Prestige quattro,33997,49604,Blue,unknown,Gasoline,6-Speed Manual,AWD
Used 2001 Audi S4 2.7T Avant quattro,6997,143643,Sebring Silver Metallic,Onyx,Gasoline,5-Speed Automatic,AWD
Used 2012 Audi S4 3.0 Premium Plus,33980,31894,Brilliant Black,Black/Silver,Gasoline,7-Speed Automatic w/Manual Shift,AWD
